star 1	err	star 2	err	star 3	err	HJD	2-1	3-1	3-2	Epoch	error 3-2	error 2-1	error 3-1	phase
-13.2	0.003	-10.05	0.017	-11.492	0.007	2459522.588	3.15	1.708	-1.442	59522.58788	0.01838477631	0.0172626765	0.007615773106	0.9876824676
-13.261	0.003	-10.118	0.016	-11.566	0.006	2459522.588	3.143	1.695	-1.448	59522.58808	0.01708800749	0.0162788206	0.006708203932	0.9883031012
-13.261	0.003	-10.118	0.016	-11.558	0.006	2459522.588	3.143	1.703	-1.44	59522.58827	0.01708800749	0.0162788206	0.006708203932	0.9888826397
-13.249	0.003	-10.1	0.016	-11.572	0.006	2459522.588	3.149	1.677	-1.472	59522.58846	0.01708800749	0.0162788206	0.006708203932	0.9894867475
-13.249	0.003	-10.1	0.016	-11.54	0.006	2459522.589	3.149	1.709	-1.44	59522.58865	0.01708800749	0.0162788206	0.006708203932	0.9900699013
-13.159	0.003	-10.022	0.017	-11.479	0.007	2459522.589	3.137	1.68	-1.457	59522.58884	0.01838477631	0.0172626765	0.007615773106	0.9906587945
-13.213	0.003	-10.052	0.017	-11.511	0.007	2459522.589	3.161	1.702	-1.459	59522.58902	0.01838477631	0.0172626765	0.007615773106	0.9912433827
-13.151	0.003	-10.051	0.017	-11.454	0.007	2459522.589	3.1	1.697	-1.403	59522.58923	0.01838477631	0.0172626765	0.007615773106	0.9918784833
-13.163	0.003	-9.992	0.018	-11.485	0.007	2459522.589	3.171	1.678	-1.493	59522.58941	0.01931320792	0.01824828759	0.007615773106	0.9924666592
-13.261	0.003	-10.118	0.016	-11.586	0.006	2459522.59	3.143	1.675	-1.468	59522.58961	0.01708800749	0.0162788206	0.006708203932	0.9930808376
-13.113	0.003	-9.964	0.018	-11.424	0.007	2459522.59	3.149	1.689	-1.46	59522.5898	0.01931320792	0.01824828759	0.007615773106	0.9936629329
-13.09	0.003	-9.986	0.018	-11.397	0.007	2459522.59	3.104	1.693	-1.411	59522.58999	0.01931320792	0.01824828759	0.007615773106	0.9942457136
-13.248	0.003	-10.129	0.016	-11.558	0.006	2459522.59	3.119	1.69	-1.429	59522.59018	0.01708800749	0.0162788206	0.006708203932	0.9948375048
-13.223	0.003	-10.091	0.016	-11.537	0.006	2459522.59	3.132	1.686	-1.446	59522.59036	0.01708800749	0.0162788206	0.006708203932	0.9954199122
